resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
1162,3,1,2,4,7,4,5,6,7,7,7,8,8,6,6,9,100,100,4,49,5,22744.92065
1164,5,3,2,3,7,4,2,4,7,7,8,8,8,1,1,2,100,52.90401425,60,40,4,5264.099005
1170,2, ,1,2,7,2,6,6,7,6,6,7,8,6,6,2,10,52.90401425,24,45.13924051,3,5318.283903
1171,3,1,2,3,7,3,6,4,7,1,10,10,10,7,7,10,100,100,24,45.13924051,2,9896.831418
1173,2,3,2,3,7,3,4,4,7,7,10,10,10,7,7,10,100,52.90401425,24,46,1,3412.398773
1176,1,1,2,1,7,3,7,7,7,7,8,9,9,7,7,10,75,0.75,48,45.13924051,4,8911.654428
1179,5, ,1,3,7,6,6,6,7,7,10,10,10,7,7,10,10,52.90401425,36,45.13924051,2,3521.619666
1180,4,1,2,3,7,2,1,1,7,6,6,7,8,7,7,10,100,52.90401425,48,45,5,4943.12527
1183,1,3,1,2,7,4,3,5,6,7,7,8,9,5,5,8,100,50,12,46,5,21465.04715
1188,2,3,1,4,7,6,6,2,2,6,7,6,8,6,6,9,80,52.90401425,60,47,2,5595.828438
1190,2,1,2,4,7,4,3,4,7,6,5,7,7,7,7,9,64.94316832,10,78,48,4,7216.313776
1195,5,1,2,3,6,4,4,4,5,5,7,7,7,5,5,7,64.94316832,52.90401425,31.20780142,30,2,2930.685721
1198,2,3,1,4,7,7,3,1,1,7,10,10,1,7,10,8.184135977,20,30,3,44,4,3779.426981
1204,4, ,2,3,7,5,5,4,6,6,8,7,8,8,8,2,10,52.90401425,10,45,4,3684.907677
1206,1, ,2,3,7,5,7,4,7,6,9,9,9,6,6,9,100,10,48,39,4,5084.603966
1209,3,1,2,4,7,1,7,4,6,7,9,9,9,7,7,10,100,52.90401425,36,41,4,2870.658893
1212,4, ,2,1,7,7,7,7,7,7,9,9,10,7,7,10,95,52.90401425,8,42,2,5683.590853
1213,4,3,2,3,4,3,4,4,7,6,10,10,10,7,7,10,100,52.90401425,36,32,3,3451.573177
1223, ,3,2,2,7,4,6,5,7,6,7,7,10,7,5,10,100,50,18,32,2,4136.327656
1224,1, ,2,3,7,1,3,4,6,7,5,7,9,6,6,9,90,52.90401425,28,36,2,4430.126867
1230,2,1,2,4,6,3,3,7,5,6,5,6,8,1,1,3,80,52.90401425,24,34,4,3900.035087
1232,3, ,2,3,5,1,1,5,6,6,7,9,8,7,7,10,50,25,60,29,3,3867.931792
1237,4,3,2,3,7,5,5,4,6,5,7,6,10,9,8,2,100,52.90401425,24,33,2,2338.147099
1239,3,1,2,2,6,3,3,4,7,7,8,8,9,7,5.811797753,8.184135977,40,52.90401425,24,40,3,3843.342551
1240,2,3,2,3,7,5,3,6,7,7,8,9,10,7,7,10,100,52.90401425,30,38,4,2679.736583
1243,5, ,1,2,7,6,5,7,7,7,8,7,9,7,6,9,100,52.90401425,27,25,2,5683.17273
1250,2,1,2,3,6,1,1,5,6,6,9,9,9,9,9,9,5,52.90401425,24,41,2,12521.39545
1257,5,3,1,4,7,5,6,5,6,6,9,9,10,6,6,9,75,40,6,25,2,10640.97126
1259,4,3,1,3,5,4,4,5,6,6,8,7,7,5,5,7,100,75,12,38,2,6149.421893
1271,2, ,1,4,4,2,4,4,7,7,10,10,10,5,3,2,5,52.90401425,48,35,4,2795.748168
1275,4, ,1,4,7,4,3,6,6,6,7,8,9,5,5,3,25,80,96,45.13924051,5,13690.42273
1281,4,3,2,3,4,3,2,3,3,5,8,7,8,5,5,8,10,52.90401425,12,20,2,2173.465028
1287,3, ,1,3,7,7,3,5,5,6,7,5,8,6,3,8,25,52.90401425,48,45.13924051,3,2852.321393
1288,2,3,2,3,7,5,4,4,6,6,6,6,7,4,5,7,100,66,8,36,4,7890.676463
1289,1,3,2,2,5,5,4,3,3,3,7,7,7,1,3,6,10,2,10,34,3,1799.845532
1292,5,3,1,3,5,3,2,5,5,5,3,7,7,8,8,3,100,52.90401425,48,35,4,4697.384888
1308,3,3,2,3,6,4,3,4,6,6,7,7,7,5,5,8,100,50,6,45.13924051,2,11163.81906
1311,5,3,1,3,7,4,5,4,6,6,8,8,9,7,6,10,80,52.90401425,48,31,3,11368.07943
1313,5,3,1,1,4,4,7,4,6,6,9,9,1,7,9,8.184135977,100,1,2,19,1,2368.436515
1319,5,1,2,3,4,5,5,4,7,7,9,8,9,7,6,8,30,50,30,45.13924051,3,5564.180843
1320,5,1,1,4,5,4,4,3,7,5,7,7,9,8,2,8,70,50,24,28,4,4294.074639
1323,5,1,1,4,6,4,3,5,6,6,8,8,8,5,5,3,100,25,12,33,3,5077.240302
1325,5,3,2,2,7,5,3,5,7,7,8,9,10,7,7,10,90,30,6,28,3,2815.385134
1326,1, ,2,2,7,4,2,4,6,6,8,9,9,6,6,9,50,52.90401425,24,21,2,4397.842076
1331,3, ,2,2,7,1,1,6,6,7,5,5,5,7,7,10,100,100,24,23,1,4858.282283
1334,4,3,1,4,4,1,4,3,4,5,7,7,6,5,6,7,50,20,48,32,2,4431.812027
1336,4,3,2,3,6.191099476,3,2,4,5,3,4,7,5,5,3,6,50,70,31.20780142,32,2,3431.126004
1348,4,3,1,3,5,2,3,5,6,6,9,9,9,6,6,9,50,52.90401425,36,27,3,4229.134738
1352,2, ,2,2,7,7,6,7,7,7,10,10,10,7,7,10,95,25,24,24,2,4682.222901
1353,3,3,2,3,5,7,2,6,2,4,10,7,7,4,4,4,90,52.90401425,24,24,4,11909.09277
1354,2,1,2,4,7,2,5,3,7,5,7,8,8,6,6,8,100,52.90401425,6,27,3,3848.291766
1364,4, ,1,3,6,2,4,3,6,6,9,7,9,7,5.811797753,8.184135977,10,52.90401425,40,25,5,4378.577994
1366,5,1,1,4,7,5,4,6,6,5,5,9,9,7,6,9,100,30,36,54,3,5709.087432
1367,4, ,2,2,7,7,7,7,7,7,10,10,10,7,7,10,100,50,60,26,4,4566.542752
1371,4,2,1,4,4,4,4,2,7,1,10,10,1,8,5.811797753,8.184135977,64.94316832,52.90401425,31.20780142,59,5,5163.947037
1402,5,3,1,3,5,4,4,4,6,5,7,6,8,6,6,8,100,52.90401425,24,24,3,3050.73217
1407,2,2,1,1,5,3,6,6,7,7,7,7,19,7,7,10,5,5,31.20780142,71,3,6721.49974
1410,4, ,2,2,7,7,7,7,7,7,10,7,8,6,6,8,100,50,6,38,2,5875.439459
1412,5,2,1,4,7,7,6,4,7,7,10,10,9,7,6,9,100,90,54,65,3,8301.594488
1415,4,3,1,5,7,5,3,4,5,6,10,9,9,9,7,10,100,50,60,65,1,2833.71297
1416,1,2,2,2,7,6,4,5,7,7,10,10,10,7,7,10,100,52.90401425,78,56,3,4853.523739
1419,4,3,2,2,7,7,1,7,7,7,10,10,1,7,7,10,100,50,156,55,1,7210.633362
1420,5,3,2,2,7,5,4,4,7,6,8,9,9,7,5,8,100,100,78,49,5,16837.50751
1425,1,3,1,2,6,3,3,4,6,6,8,8,8,6,5.811797753,8.184135977,15,50,6,45.13924051,3,6715.307119
1428,1,3,2,2,7,1,3,4,6,6,7,7,7,5,5.811797753,8.184135977,98,25,12,53,4,4718.044297
1429,4,2,1,4,7,4,5,4,7,7,9,10,10,7,7,10,5,52.90401425,40,59,4,2259.420122
1431,4, ,1,2,7,1,7,4,7,7,10,8,10,7,7,10,100,52.90401425,24,62,2,4862.038673
1438,4,3,2,1,3,1,3,4,4,4,6,6,6,5,5,7,25,52.90401425,12,55,2,4090.295633
1442,4,1,2,4,7,3,4,4,6,6,9,10,9,7,7,9,100,100,12,56,4,7084.686412
1445,1,3,1,4,7,1,6,4,7,7,7,8,9,7,7,10,10,70,60,45.13924051,1,4396.314681
1451,1,2,2,3,7,7,7,2,7,7,10,10,10,7,7,10,100,100,24,45.13924051,2,12594.66757
1453,1,1,2,4,7,4,5,3,6,6,6,6,7,1,1,7,15,52.90401425,31.20780142,45.13924051,4,3898.119562
1458,6,1,2,2,7,6,6,6,7,7,10,10,10,7,5.811797753,8.184135977,64.94316832,90,24,46,3,12320.57757
1460,5,3,1,2,6,4,2,5,6,6,8,7,8,6,6,9,35,100,24,55,5,18791.29528
1465,2,1,1,4,7,4,4,5,7,7,8,8,9,5,5,7,50,75,30,45.13924051,2,7738.841481
1467,3,1,2,4,7,6,3,7,5,6,8,9,8,6,6,8,64.94316832,80,24,52,3,4737.139642
1468,1,1,2,4,6,2,4,4,6,6,7,5,8,1,1,7,10,52.90401425,18,52,5,11208.94394
1473,1,3,1,3,6,2,5,2,6,5,5,6,6,2,2,4,100,52.90401425,18,53,3,7951.688925
1482,4,1,1,5,6,4,5,4,5,4,8,8,8,6,6,8,90,52.90401425,24,45.13924051,4,15717.12713
1490,1,1,1,3,7,6,6,3,7,7,8,8,9,5,5,9,85,100,12,49,4,19169.82887
1494,5, ,2,3,6,2,4,4,6,6,8,8,8,8,8,2,80,100,8,51,2,14130.81947
1504,6,1,2,4,7,5,5,4,6,5,7,8,7,5,5,8,100,52.90401425,3,48,3,7919.34669
1507,4,1,2,3,5,1,3,2,7,6,8,8,8,6,4,8,85,52.90401425,12,47,3,12672.5789
1511,1, ,2,2,6,6,7,6,7,6,10,10,10,7,7,10,100,100,6,36,1,14541.44842
1513,5,1,2,4,7,3,1,4,6,5,7,7,7,6,6,9,100,100,31.20780142,48,4,6549.267927
1516,4, ,1,3,4,2,5,4,4,4,5,5,5,4,4,5,75,75,24,40,2,10238.43647
1527,2,3,2,1,7,6,5,3,7,7,9,9,10,7,5.811797753,8.184135977,75,25,78,34,5,10958.48951
1529,4,1,2,4,4,2,1,5,3,4,5,5,5,3,3,5,100,100,60,45.13924051,2,7691.733621
1531,1,3,1,3,7,5,2,6,7,7,6,6,9,6,6,8,100,100,23,46,3,17520.88873
1547,5,3,1,3,4,3,2,5,7,7,10,10,10,7,7,10,5,52.90401425,78,30,3,2368.082576
1550,5,1,1,4,7,7,6,4,7,7,9,9,9,6,6,9,90,20,24,45.13924051,3,9460.194837
1555,1,3,1,3,7,2,5,2,6,6,5,8,8,4,1,7,50,0.25,24,44,5,4985.060458
1558,4,3,1,3,6,4,3,3,7,6,7,7,7,5,5,7,5,15,16,28,3,5781.980324
1561, , ,2,3,7,2,5,1,7,5,8,8,10,7,7,10,50,52.90401425,36,43,4,4439.399888
1569,3,3,2,3,6,2,4,3,6,4,7,7,8,2,2,6,100,52.90401425,24,32,2,3563.577597
1570,4,1,1,3,6,2,4,3,6,6,7,7,7,6,3,7,100,10,48,45.13924051,3,9136.180941
1571,1,3,2,2,6,4,5,6,6,6,8,8,8,6,6,9,50,100,36,42,3,7381.340117
1594,1, ,1,3,7,1,1,4,5,4,4,5,8,3,3,6,100,52.90401425,36,25,2,3646.659901
1600,4,3,1,3,7,5,6,5,7,6,8,9,9,5,5,9,70,52.90401425,78,45.13924051,5,4879.379736
1604,1, ,1,3,5,3,5,4,3,5,4,4,4,1,2,7,100,100,12,38,4,12820.07503
1605,4,1,1,4,7,3,4,4,7,6,10,10,10,5.957839262,5.811797753,8.184135977,100,100,31.20780142,61,3,23003.84659
1607,4, ,2,2,6,5,6,6,7,7,8,8,8,8,6,8,50,95,36,45.13924051,4,8743.952558
1608,5,1,1,4,7,3,3,5,5,5,8,7,8,6,6,10,25,52.90401425,60,45.13924051,2,2795.748168
1619,4, ,2,2,7,7,5,7,7,7,10,10,10,7,7,10,100,85,60,38,3,8959.244282
1622,5, ,1,3,7,4,5,4,6,5,8,8,8,8,8,8,100,5,48,31,3,4270.488636
1643,3,3,2,3,7,5,3,5,6,6,8,9,9,6,6,9,100,100,12,25,1,6496.118074
1644,2,3,1,3,7,4,4,4,6,5,9,8,8,7,7,10,75,50,60,23,2,5319.654345
1646,2,3,1,2,6,5,1,7,7,7,6,8,8,6,5,8,70,52.90401425,20,20,5,2697.244651
1647,4, , , ,5,1,4,2,7,7,8,8,8,6,6,8,80,52.90401425,31.20780142,45.13924051,3,3900.924515
1653,4, ,2,1,6,6,6,6,7,6,8,8,9,7,7,10,64.94316832,52.90401425,6,51,5,8846.313493
1654,3,1,2,2,6,3,2,2,4,4,6,7,7,5,4,8,9,29,12,34,4,4487.970291
1655,5,1,1,3,4,2,3,4,6,4,8,8,7,5,5,7,25,52.90401425,36,45.13924051,3,4104.893467
1659,5,3,1,3,7,3,6,4,7,7,7,7,8,6,6,9,64.94316832,52.90401425,6,33,2,3364.83408
1661,1,3,1,3,6,5,5,3,6,6,8,7,8,6,6,9,100,52.90401425,18,38,3,4124.514331
1662,2,3,2,3,7,7,6,5,7,7,10,10,10,7,7,10,20,50,24,36,4,14411.58626
1663,4,3,1,1,7,6,7,4,7,7,10,10,10,7,7,10,50,52.90401425,78,34,2,5348.167514
1675,4,1,2,2,7,5,6,4,6,5,7,6,6,1,3,7,15,52.90401425,24,55,4,6569.65778
1689,6,3,2,2,6,2,3,7,7,6,5,5,8,7,7,10,100,100,9,22,2,2556.592578
1690,3,1,2,3,7,2,5,3,7,7,10,10,10,7,7,10,100,52.90401425,31.20780142,35,2,4706.18227
1695,4,3,2,3,5,3,5,3,6,5,7,6,8,6,6,9,70,50,24,27,1,8823.258338
1710,1,1,1,4,7,3,2,4,7,7,10,8,8,4,4,7,64.94316832,52.90401425,32,45.13924051,4,6582.843963
1711,3,3,2,2,7,5,3,4,7,7,10,10,10,6,6,10,85,90,36,32,3,8479.177178
1714,4, ,2,2,7,6,6,4,7,7,10,10,9,7,7,10,100,100,60,31,2,18052.46394
1716,2,3,2,3,6,4,6,3,5,5,7,8,7,5,5,9,100,50,24,26,4,13158.12454
1718,2,3,1,3,3,1,1,4,2,3,4,8,5,5,5,8,90,52.90401425,36,33,4,3357.608578
1719,5,3,2,3,5,4,4,4,5,5,4,5,7,4,4,4,30,100,4,45.13924051,2,3642.742785
1727,5, ,1,2,6.191099476,5,4,5,6,7,9,10,10,6,6,9,100,100,37,20,2,4407.757743
1730,6,3,2,2,4,4,5,4,5,4,4,4,4,4,4,7,100,52.90401425,36,23,1,4356.53287
1738, ,3,2,1,2,2,3,4,5,5,8,9,7,7,5.811797753,8.184135977,100,100,36,23,1,7465.46824
1752,1, ,1,3,7,4,6,5,6,6,5,5,8,6,6,9,75,50,24,27,1,5061.512975
1757,4,2,1,4,7,4,4,4,7,7,8,8,10,6,6,9,1,52.90401425,78,73,4,2870.658893
1761,5,2,1,2,7,6,3,1,1,7,10,9,9,6,6,9,75,52.90401425,48,71,2,4047.131572
1762,1,2,2,4,5,3,2,4,5,5,7,7,9,8,8,8,15,75,60,71,2,18484.51348
1764,5,2,1,4,7,5,4,4,7,1,6,6,7,1,1,1,90,20,50,71,3,11126.26068
1769,5,2,2,2,7,5,4,4,6,6,9,9,10,7,7,10,10,40,20,69,2,13286.71285
1770,6,2,1,4,6,4,5,3,5,4,6,6,7,5.957839262,4,8.184135977,40,100,8,73,3,15595.08236
1772,5,2,2,3,6,4,4,3,7,7,8,7,8,6,6,9,5,50,36,66,1,3439.880102
1774,1,2,2,4,7,2,3,2,6,6,9,9,9,7,7,9,80,52.90401425,78,66,2,3632.741376
1776,3,3,1,2,6,4,5,4,7,5,7,6,8.355932203,3,4,6,100,100,22,22,3,3691.75484
1782,1,3,2,4,3,4,4,4,5,5,7,7,9,6,6,9,100,52.90401425,24,41,2,4343.002037
1783,4,2, ,3,4,4,5,3,7,4,7,7,7,2,2,6,100,52.90401425,36,45.13924051,3,5859.118531
1785,3,2,2,3,6,5,4,4,4,4,5,5,6,2,4,7,64.94316832,52.90401425,31.20780142,64,4,5131.323031
1787,5,2,2,2,7,6,2,5,7,7,8,8,9,7,7,8,100,52.90401425,48,63,2,6583.944945
1789,2,1,2,2,7,3,6,4,5,7,10,9,10,7,5.811797753,8.184135977,50,52.90401425,12,60,3,5065.3264
1791,3,2,2,4,7,1,1,1,7,7,10,10,10,7,7,10,100,100,36,59,2,9934.604919
1796,4,3,2,4,7,7,2,6,6,7,9,9,10,6,6,9,10,100,6,58,2,14495.39532
1797,1,1,2,2,7,7,7,2,7,7,10,10,10,7,7,10,10,52.90401425,31.20780142,45.13924051,1,3139.606504
1798,4,1,2,3,7,5,4,4,7,5,8,8,9,6,6,9,30,52.90401425,48,45.13924051,3,3227.948985
1800,5,2,2,4,7,4,1,1,7,7,10,10,10,7,7,10,5,100,31.20780142,75,3,3019.11001
1802,6,2,2,2,7,4,4,4,7,7,10,10,10,7,7,10,100,52.90401425,31.20780142,54,1,3013.835617
1803,1,1,2,4,7,4,5,4,6,6,8,8,8,6,6,8,50,25,24,58,3,6967.906762
1808,5,2,2,2,6,6,4,6,5,6,8,8,8,6,6,8,80,100,36,58,4,13276.06125
1810,5,2,1,4,5,4,4,4,4,6,8,8,9,7,6,9,75,52.90401425,24,66,3,4191.10745
1814,5,2,1,3,7,2,4,3,7,7,10,8,8,8,8,8,16,52.90401425,31.20780142,45.13924051,3,3969.027182
1822,3,3,2,3,6,4,5,2,7,6,8,8,9,7,7,9,100,52.90401425,24,54,1,3471.303692
1827,2,1,2,4,6,5,2,3,6,6,8,8,9,7,7,10,10,52.90401425,48,45.13924051,3,5232.947105
1828,3,3,2,4,5,4,5,4,6,6,7,7,8,7,7,10,100,75,31.20780142,54,2,9807.11526
1833,4,1,1,4,5,3,3,4,4,4,8,8,8,4,3,6,40,50,24,54,5,13077.67358
1835,1,2,2,2,6,4,4,4,6,5,8,8,9,7,5.811797753,8.184135977,100,52.90401425,24,53,2,3242.836613
1836,1,1,1,3,7,5,4,5,7,7,9,8,9,4,4,8,100,50,36,45.13924051,4,8952.377201
1844,6,3,2,3,7,5,4,5,6,6,7,5,6,4,3,6,70,80,78,56,3,23836.67624
1854,5,3,1,2,6,4,5,5,6,6,7,7,7,2,2,6,10,70,36,53,4,12563.61074
1859,1,1,2,3,7,2,3,5,7,6,8,8,8,7,7,9,60,100,24,49,5,3774.454052
1863,2,1,1,4,7,4,6,4,5,4,8,7,8,6,6,8,80,50,26,45.13924051,4,15410.5399
1870,4, ,1,4,6,4,3,4,6,5,8,8,8,6,6,8,80,50,36,51,2,8842.734059
1875,1,3,2,3,7,4,4,5,7,7,7,10,10,7,7,10,100,80,78,48,5,23000.46408
1879,6,3,1,2,6,2,3,2,4,4,6,4,7,5,3,8.184135977,80,52.90401425,6,46,2,5225.008675
1884,6,1,2,4,7,5,3,4,7,6,10,10,9,6,6,9,100,52.90401425,60,47,3,6593.475239
1889,1,1,2,3,7,4,1,4,4,5,5,6,7,4,3,5,100,52.90401425,6,45.13924051,4,6665.460475
1894,2,3,1,4,4,3,3,4,6,5,7,7,7,1,1,7,5,52.90401425,24,47,3,4134.772176
1904,4,3,2,3,7,7,3,7,7,7,8,8,7,5,5,7,50,30,96,46,5,21038.92463
1907,1,1,2,2,7,7,5,7,7,7,9,9,9,7,7,10,50,30,36,43,4,3992.832284
1909,3,3,1,3,7,4,4,4,2,6,8,10,10,5,6,10,100,100,26,25,1,3745.555642
1914,4,2,2,1,6,4,4,5,6,6,8,9,9,6,6,9,25,50,78,44,4,8668.612182
1917,4, ,2,1,6,4,2,4,6,6,9,8,8,9,9,9,90,52.90401425,24,41,3,6566.990129
1924,1,3,2,4,6,3,3,4,6,5,7,5,8,6,6,9,20,100,31.20780142,43,4,9650.750707
1927,4,3,2,3,7,3,5,5,7,7,10,10,10,7,5.811797753,8.184135977,100,80,8,36,4,2431.972279
1933,4, ,2,2,5,2,1,4,5,6,5,4,7,7,7,10,80,25,30,40,5,6417.311741
1938,4,3,2,4,6,4,3,4,5,4,7,5,7,2,2,4,70,52.90401425,31.20780142,41,3,2795.748168
1939,1,1,1,4,7,6,6,4,7,7,9,9,10,7,7,10,100,100,31.20780142,64,3,12067.55226
1945,2,3,1,3,7,2,1,7,5,6,9,9,9,6,6,9,50,75,24,26,2,8433.53489
1962,5,1,2,4,7,5,6,4,7,6,9,10,10,7,7,8.184135977,100,25,12,35,2,4733.820918
1970,5,2,1,5,6,5,5,3,5,5,6,7,7,4,5,7,100,100,6,55,4,19488.80809
1976,5,1,2,4,7,6,7,3,7,7,9,8,8,6,6,8,7,2,24,61,4,11458.34869
1980,5, ,1,3,6,3,3,5,6,6,8,8,8,8,8,2,30,52.90401425,16,35,3,4516.854349
1996,5,1,2,4,4,1,1,5,7,6,7,6,7,6,6,8,85,52.90401425,13,26,3,4194.470565
